Attendance,AvgAttendanceByYear,AvgAttendanceByStage,Year,Stage,City,Stadium,Home Team Name,Away Team Name,Home Team Goals,Away Team Goals,Half-time Home Goals,Half-time Away Goals
4444.0,32808.27777777778,41664.06451612903,1930,Group 1,Montevideo ,Pocitos,France,Mexico,4.0,1.0,3.0,0.0
18346.0,32808.27777777778,25915.745454545453,1930,Group 4,Montevideo ,Parque Central,USA,Belgium,3.0,0.0,2.0,0.0
24059.0,32808.27777777778,34241.76271186441,1930,Group 2,Montevideo ,Parque Central,Yugoslavia,Brazil,2.0,1.0,2.0,0.0
2549.0,32808.27777777778,34271.41071428572,1930,Group 3,Montevideo ,Pocitos,Romania,Peru,3.0,1.0,1.0,0.0
23409.0,32808.27777777778,41664.06451612903,1930,Group 1,Montevideo ,Parque Central,Argentina,France,1.0,0.0,0.0,0.0
9249.0,32808.27777777778,41664.06451612903,1930,Group 1,Montevideo ,Parque Central,Chile,Mexico,3.0,0.0,1.0,0.0
18306.0,32808.27777777778,34241.76271186441,1930,Group 2,Montevideo ,Parque Central,Yugoslavia,Bolivia,4.0,0.0,0.0,0.0
18306.0,32808.27777777778,25915.745454545453,1930,Group 4,Montevideo ,Parque Central,USA,Paraguay,3.0,0.0,2.0,0.0
57735.0,32808.27777777778,34271.41071428572,1930,Group 3,Montevideo ,Estadio Centenario,Uruguay,Peru,1.0,0.0,0.0,0.0
2000.0,32808.27777777778,41664.06451612903,1930,Group 1,Montevideo ,Estadio Centenario,Chile,France,1.0,0.0,0.0,0.0
42100.0,32808.27777777778,41664.06451612903,1930,Group 1,Montevideo ,Estadio Centenario,Argentina,Mexico,6.0,3.0,3.0,1.0
25466.0,32808.27777777778,34241.76271186441,1930,Group 2,Montevideo ,Estadio Centenario,Brazil,Bolivia,4.0,0.0,1.0,0.0
12000.0,32808.27777777778,25915.745454545453,1930,Group 4,Montevideo ,Estadio Centenario,Paraguay,Belgium,1.0,0.0,1.0,0.0
70022.0,32808.27777777778,34271.41071428572,1930,Group 3,Montevideo ,Estadio Centenario,Uruguay,Romania,4.0,0.0,4.0,0.0
41459.0,32808.27777777778,41664.06451612903,1930,Group 1,Montevideo ,Estadio Centenario,Argentina,Chile,3.0,1.0,2.0,1.0
72886.0,32808.27777777778,59053.333333333336,1930,Semi-finals,Montevideo ,Estadio Centenario,Argentina,USA,6.0,1.0,1.0,0.0
79867.0,32808.27777777778,59053.333333333336,1930,Semi-finals,Montevideo ,Estadio Centenario,Uruguay,Yugoslavia,6.0,1.0,3.0,1.0
68346.0,32808.27777777778,76383.65,1930,Final,Montevideo ,Estadio Centenario,Uruguay,Argentina,4.0,2.0,1.0,2.0
16000.0,21352.941176470587,16875.0,1934,Preliminary round,Turin ,Stadio Benito Mussolini,Austria,France,3.0,2.0,0.0,0.0
9000.0,21352.941176470587,16875.0,1934,Preliminary round,Naples ,Giorgio Ascarelli,Hungary,Egypt,4.0,2.0,2.0,2.0
33000.0,21352.941176470587,16875.0,1934,Preliminary round,Milan ,San Siro,Switzerland,Netherlands,3.0,2.0,2.0,1.0
14000.0,21352.941176470587,16875.0,1934,Preliminary round,Bologna ,Littorale,Sweden,Argentina,3.0,2.0,1.0,1.0
8000.0,21352.941176470587,16875.0,1934,Preliminary round,Florence ,Giovanni Berta,Germany,Belgium,5.0,2.0,1.0,2.0
21000.0,21352.941176470587,16875.0,1934,Preliminary round,Genoa ,Luigi Ferraris,Spain,Brazil,3.0,1.0,3.0,0.0
25000.0,21352.941176470587,16875.0,1934,Preliminary round,Rome ,Nazionale PNF,Italy,USA,7.0,1.0,3.0,0.0
9000.0,21352.941176470587,16875.0,1934,Preliminary round,Trieste ,Littorio,Czechoslovakia,Romania,2.0,1.0,0.0,1.0
12000.0,21352.941176470587,45697.48484848485,1934,Quarter-finals,Turin ,Stadio Benito Mussolini,Czechoslovakia,Switzerland,3.0,2.0,1.0,1.0
3000.0,21352.941176470587,45697.48484848485,1934,Quarter-finals,Milan ,San Siro,Germany,Sweden,2.0,1.0,0.0,0.0
35000.0,21352.941176470587,45697.48484848485,1934,Quarter-finals,Florence ,Giovanni Berta,Italy,Spain,1.0,1.0,0.0,0.0
23000.0,21352.941176470587,45697.48484848485,1934,Quarter-finals,Bologna ,Littorale,Austria,Hungary,2.0,1.0,1.0,0.0
43000.0,21352.941176470587,45697.48484848485,1934,Quarter-finals,Florence ,Giovanni Berta,Italy,Spain,1.0,0.0,1.0,0.0
35000.0,21352.941176470587,59053.333333333336,1934,Semi-finals,Milan ,San Siro,Italy,Austria,1.0,0.0,1.0,0.0
15000.0,21352.941176470587,59053.333333333336,1934,Semi-finals,Rome ,Nazionale PNF,Czechoslovakia,Germany,3.0,1.0,1.0,0.0
7000.0,21352.941176470587,50847.86666666667,1934,Match for third place,Naples ,Giorgio Ascarelli,Germany,Austria,3.0,2.0,3.0,1.0
55000.0,21352.941176470587,76383.65,1934,Final,Rome ,Nazionale PNF,Italy,Czechoslovakia,2.0,1.0,0.0,0.0
27152.0,20872.222222222223,16120.333333333334,1938,First round,Paris ,Parc des Princes,Switzerland,Germany,1.0,1.0,0.0,0.0
9000.0,20872.222222222223,16120.333333333334,1938,First round,Reims ,Velodrome Municipale,Hungary,Dutch East Indies,6.0,0.0,4.0,0.0
30454.0,20872.222222222223,16120.333333333334,1938,First round,Colombes ,Stade Olympique,France,Belgium,3.0,1.0,2.0,1.0
7000.0,20872.222222222223,16120.333333333334,1938,First round,Toulouse ,Stade Municipal,Cuba,Romania,3.0,3.0,0.0,0.0
19000.0,20872.222222222223,16120.333333333334,1938,First round,Marseilles ,Stade V�lodrome,Italy,Norway,2.0,1.0,0.0,0.0
13452.0,20872.222222222223,16120.333333333334,1938,First round,Strasbourg ,Stade de la Meinau,Brazil,Poland,6.0,5.0,0.0,0.0
11000.0,20872.222222222223,16120.333333333334,1938,First round,Le Havre ,Cavee Verte,Czechoslovakia,Netherlands,3.0,0.0,0.0,0.0
8000.0,20872.222222222223,16120.333333333334,1938,First round,Toulouse ,Stade Municipal,Cuba,Romania,2.0,1.0,0.0,1.0
20025.0,20872.222222222223,16120.333333333334,1938,First round,Paris ,Parc des Princes,Switzerland,Germany,4.0,2.0,1.0,2.0
22021.0,20872.222222222223,45697.48484848485,1938,Quarter-finals,Bordeaux ,Stade du Parc Lescure,Brazil,Czechoslovakia,1.0,1.0,0.0,0.0
15000.0,20872.222222222223,45697.48484848485,1938,Quarter-finals,Lille ,Victor Boucquey,Hungary,Switzerland,2.0,0.0,1.0,0.0
7000.0,20872.222222222223,45697.48484848485,1938,Quarter-finals,Antibes ,Fort Carree,Sweden,Cuba,8.0,0.0,4.0,0.0
58455.0,20872.222222222223,45697.48484848485,1938,Quarter-finals,Colombes ,Stade Olympique,Italy,France,3.0,1.0,1.0,1.0
18141.0,20872.222222222223,45697.48484848485,1938,Quarter-finals,Bordeaux ,Stade du Parc Lescure,Brazil,Czechoslovakia,2.0,1.0,0.0,1.0
20000.0,20872.222222222223,59053.333333333336,1938,Semi-finals,Paris ,Parc des Princes,Hungary,Sweden,5.0,1.0,3.0,1.0
33000.0,20872.222222222223,59053.333333333336,1938,Semi-finals,Marseilles ,Stade V�lodrome,Italy,Brazil,2.0,1.0,0.0,0.0
12000.0,20872.222222222223,50847.86666666667,1938,Match for third place,Bordeaux ,Stade du Parc Lescure,Brazil,Sweden,4.0,2.0,1.0,2.0
45000.0,20872.222222222223,76383.65,1938,Final,Colombes ,Stade Olympique,Italy,Hungary,4.0,2.0,3.0,1.0
81649.0,47511.181818181816,41664.06451612903,1950,Group 1,Rio De Janeiro ,Maracan� - Est�dio Jornalista M�rio Filho,Brazil,Mexico,4.0,0.0,1.0,0.0
29703.0,47511.181818181816,34241.76271186441,1950,Group 2,Rio De Janeiro ,Maracan� - Est�dio Jornalista M�rio Filho,England,Chile,2.0,0.0,1.0,0.0
9511.0,47511.181818181816,34241.76271186441,1950,Group 2,Curitiba ,Durival de Brito,Spain,USA,3.0,1.0,0.0,1.0
36502.0,47511.181818181816,34271.41071428572,1950,Group 3,Sao Paulo ,Pacaembu,Sweden,Italy,3.0,2.0,2.0,1.0
7336.0,47511.181818181816,41664.06451612903,1950,Group 1,Belo Horizonte ,Independencia,Yugoslavia,Switzerland,3.0,0.0,0.0,0.0
42032.0,47511.181818181816,41664.06451612903,1950,Group 1,Sao Paulo ,Pacaembu,Brazil,Switzerland,2.0,2.0,2.0,1.0
11078.0,47511.181818181816,41664.06451612903,1950,Group 1,Porto Alegre ,Eucaliptos,Yugoslavia,Mexico,4.0,1.0,2.0,0.0
19790.0,47511.181818181816,34241.76271186441,1950,Group 2,Rio De Janeiro ,Maracan� - Est�dio Jornalista M�rio Filho,Spain,Chile,2.0,0.0,2.0,0.0
7903.0,47511.181818181816,34271.41071428572,1950,Group 3,Curitiba ,Durival de Brito,Sweden,Paraguay,2.0,2.0,2.0,1.0
10151.0,47511.181818181816,34241.76271186441,1950,Group 2,Belo Horizonte ,Independencia,USA,England,1.0,0.0,1.0,0.0
142429.0,47511.181818181816,41664.06451612903,1950,Group 1,Rio De Janeiro ,Maracan� - Est�dio Jornalista M�rio Filho,Brazil,Yugoslavia,2.0,0.0,1.0,0.0
74462.0,47511.181818181816,34241.76271186441,1950,Group 2,Rio De Janeiro ,Maracan� - Est�dio Jornalista M�rio Filho,Spain,England,1.0,0.0,0.0,0.0
25811.0,47511.181818181816,34271.41071428572,1950,Group 3,Sao Paulo ,Pacaembu,Italy,Paraguay,2.0,0.0,1.0,0.0
5284.0,47511.181818181816,25915.745454545453,1950,Group 4,Belo Horizonte ,Independencia,Uruguay,Bolivia,8.0,0.0,4.0,0.0
3580.0,47511.181818181816,41664.06451612903,1950,Group 1,Porto Alegre ,Eucaliptos,Switzerland,Mexico,2.0,1.0,2.0,0.0
8501.0,47511.181818181816,34241.76271186441,1950,Group 2,Recife ,Ilha do Retiro,Chile,USA,5.0,2.0,2.0,0.0
44802.0,47511.181818181816,65658.58333333333,1950,Group 6,Sao Paulo ,Pacaembu,Uruguay,Spain,2.0,2.0,1.0,2.0
138886.0,47511.181818181816,65658.58333333333,1950,Group 6,Rio De Janeiro ,Maracan� - Est�dio Jornalista M�rio Filho,Brazil,Sweden,7.0,1.0,3.0,0.0
152772.0,47511.181818181816,65658.58333333333,1950,Group 6,Rio De Janeiro ,Maracan� - Est�dio Jornalista M�rio Filho,Brazil,Spain,6.0,1.0,3.0,0.0
7987.0,47511.181818181816,65658.58333333333,1950,Group 6,Sao Paulo ,Pacaembu,Uruguay,Sweden,3.0,2.0,1.0,2.0
11227.0,47511.181818181816,65658.58333333333,1950,Group 6,Sao Paulo ,Pacaembu,Sweden,Spain,3.0,1.0,2.0,0.0
173850.0,47511.181818181816,65658.58333333333,1950,Group 6,Rio De Janeiro ,Maracan� - Est�dio Jornalista M�rio Filho,Uruguay,Brazil,2.0,1.0,0.0,0.0
20500.0,29561.80769230769,34271.41071428572,1954,Group 3,Berne ,Wankdorf Stadium,Uruguay,Czechoslovakia,2.0,0.0,0.0,0.0
25000.0,29561.80769230769,34271.41071428572,1954,Group 3,Zurich ,Hardturm,Austria,Scotland,1.0,0.0,1.0,0.0
13470.0,29561.80769230769,41664.06451612903,1954,Group 1,Geneva ,Charmilles,Brazil,Mexico,5.0,0.0,4.0,0.0
16000.0,29561.80769230769,41664.06451612903,1954,Group 1,Lausanne ,La Pontaise,Yugoslavia,France,1.0,0.0,1.0,0.0
28000.0,29561.80769230769,34241.76271186441,1954,Group 2,Berne ,Wankdorf Stadium,Germany FR,Turkey,4.0,1.0,1.0,1.0
13000.0,29561.80769230769,34241.76271186441,1954,Group 2,Zurich ,Hardturm,Hungary,Korea Republic,9.0,0.0,4.0,0.0
14000.0,29561.80769230769,25915.745454545453,1954,Group 4,Basel ,St. Jakob,England,Belgium,4.0,4.0,0.0,0.0
43000.0,29561.80769230769,25915.745454545453,1954,Group 4,Lausanne ,La Pontaise,Switzerland,Italy,2.0,1.0,1.0,1.0
34000.0,29561.80769230769,34271.41071428572,1954,Group 3,Basel ,St. Jakob,Uruguay,Scotland,7.0,0.0,2.0,0.0
26000.0,29561.80769230769,34271.41071428572,1954,Group 3,Zurich ,Hardturm,Austria,Czechoslovakia,5.0,0.0,4.0,0.0
19000.0,29561.80769230769,41664.06451612903,1954,Group 1,Geneva ,Charmilles,France,Mexico,3.0,2.0,1.0,0.0
24637.0,29561.80769230769,41664.06451612903,1954,Group 1,Lausanne ,La Pontaise,Brazil,Yugoslavia,1.0,1.0,0.0,0.0
56000.0,29561.80769230769,34241.76271186441,1954,Group 2,Basel ,St. Jakob,Hungary,Germany FR,8.0,3.0,3.0,1.0
4000.0,29561.80769230769,34241.76271186441,1954,Group 2,Geneva ,Charmilles,Turkey,Korea Republic,7.0,0.0,4.0,0.0
43500.0,29561.80769230769,25915.745454545453,1954,Group 4,Berne ,Wankdorf Stadium,England,Switzerland,2.0,0.0,1.0,0.0
24000.0,29561.80769230769,25915.745454545453,1954,Group 4,Lugano ,Comunale di Cornaredo,Italy,Belgium,4.0,1.0,1.0,0.0
17000.0,29561.80769230769,34241.76271186441,1954,Group 2,Zurich ,Hardturm,Germany FR,Turkey,7.0,2.0,3.0,1.0
30000.0,29561.80769230769,25915.745454545453,1954,Group 4,Basel ,St. Jakob,Switzerland,Italy,4.0,1.0,1.0,0.0
28000.0,29561.80769230769,45697.48484848485,1954,Quarter-finals,Basel ,St. Jakob,Uruguay,England,4.0,2.0,2.0,1.0
35000.0,29561.80769230769,45697.48484848485,1954,Quarter-finals,Lausanne ,La Pontaise,Austria,Switzerland,7.0,5.0,5.0,4.0
17000.0,29561.80769230769,45697.48484848485,1954,Quarter-finals,Geneva ,Charmilles,Germany FR,Yugoslavia,2.0,0.0,1.0,0.0
40000.0,29561.80769230769,45697.48484848485,1954,Quarter-finals,Berne ,Wankdorf Stadium,Hungary,Brazil,4.0,2.0,2.0,1.0
58000.0,29561.80769230769,59053.333333333336,1954,Semi-finals,Basel ,St. Jakob,Germany FR,Austria,6.0,1.0,1.0,0.0
45000.0,29561.80769230769,59053.333333333336,1954,Semi-finals,Lausanne ,La Pontaise,Hungary,Uruguay,4.0,2.0,0.0,0.0
32000.0,29561.80769230769,50847.86666666667,1954,Match for third place,Zurich ,Hardturm,Austria,Uruguay,3.0,1.0,1.0,1.0
62500.0,29561.80769230769,76383.65,1954,Final,Berne ,Wankdorf Stadium,Germany FR,Hungary,3.0,2.0,2.0,2.0
34107.0,23423.14285714286,34271.41071428572,1958,Group 3,Solna ,Rasunda Stadium,Sweden,Mexico,3.0,0.0,1.0,0.0
49348.0,23423.14285714286,25915.745454545453,1958,Group 4,Gothenburg ,Nya Ullevi,Soviet Union,England,2.0,2.0,1.0,0.0
31156.0,23423.14285714286,41664.06451612903,1958,Group 1,Malm� ,Malmo Stadion,Argentina,Germany FR,1.0,3.0,1.0,2.0
15343.0,23423.14285714286,34271.41071428572,1958,Group 3,Sandviken ,Jarnvallen,Hungary,Wales,1.0,1.0,1.0,1.0
16518.0,23423.14285714286,34241.76271186441,1958,Group 2,Norrk�Ping ,Idrottsparken,France,Paraguay,7.0,3.0,2.0,2.0
9591.0,23423.14285714286,34241.76271186441,1958,Group 2,Vasteras ,Arosvallen,Yugoslavia,Scotland,1.0,1.0,1.0,0.0
17788.0,23423.14285714286,25915.745454545453,1958,Group 4,Udevalla ,Rimnersvallen,Brazil,Austria,3.0,0.0,1.0,0.0
10647.0,23423.14285714286,41664.06451612903,1958,Group 1,Halmstad ,Orjans Vall,Northern Ireland,Czechoslovakia,1.0,0.0,1.0,0.0
40895.0,23423.14285714286,25915.745454545453,1958,Group 4,Gothenburg ,Nya Ullevi,Brazil,England,0.0,0.0,0.0,0.0
15150.0,23423.14285714286,34271.41071428572,1958,Group 3,Solna ,Rasunda Stadium,Mexico,Wales,1.0,1.0,0.0,1.0
11665.0,23423.14285714286,34241.76271186441,1958,Group 2,Norrk�Ping ,Idrottsparken,Paraguay,Scotland,3.0,2.0,2.0,1.0
12217.0,23423.14285714286,34241.76271186441,1958,Group 2,Vasteras ,Arosvallen,Yugoslavia,France,3.0,2.0,1.0,1.0
21239.0,23423.14285714286,25915.745454545453,1958,Group 4,Boras ,Ryavallen,Soviet Union,Austria,2.0,0.0,1.0,0.0
25000.0,23423.14285714286,41664.06451612903,1958,Group 1,Helsingborg ,Olympia Stadium,Germany FR,Czechoslovakia,2.0,2.0,0.0,2.0
14174.0,23423.14285714286,41664.06451612903,1958,Group 1,Halmstad ,Orjans Vall,Argentina,Northern Ireland,3.0,1.0,1.0,1.0
38850.0,23423.14285714286,34271.41071428572,1958,Group 3,Solna ,Rasunda Stadium,Sweden,Hungary,2.0,1.0,1.0,0.0
30287.0,23423.14285714286,34271.41071428572,1958,Group 3,Solna ,Rasunda Stadium,Sweden,Wales,0.0,0.0,0.0,0.0
50928.0,23423.14285714286,25915.745454545453,1958,Group 4,Gothenburg ,Nya Ullevi,Brazil,Soviet Union,2.0,0.0,1.0,0.0
21990.0,23423.14285714286,41664.06451612903,1958,Group 1,Malm� ,Malmo Stadion,Germany FR,Northern Ireland,2.0,2.0,1.0,1.0
13300.0,23423.14285714286,34271.41071428572,1958,Group 3,Sandviken ,Jarnvallen,Hungary,Mexico,4.0,0.0,1.0,0.0
13103.0,23423.14285714286,34241.76271186441,1958,Group 2,Eskilstuna ,Tunavallen,Paraguay,Yugoslavia,3.0,3.0,1.0,2.0
