Attendance,AvgAttendanceByYear,AvgAttendanceByStage,Year,Stage,City,Stadium,Home Team Name,Away Team Name,Home Team Goals,Away Team Goals,Half-time Home Goals,Half-time Away Goals,Total_Goals,Decada,outlier_iqr,Attendance_Quartile,outlier_dbscan_log,outlier_dbscan,outlier_any_method,outlier_any_dbscan,Region
4444.0,32808.27777777778,41664.06451612903,1930,Group 1,Montevideo ,Pocitos,France,Mexico,4.0,1.0,3.0,0.0,5.0,1930,False,Q1 (Bajo),True,False,True,True,Otros
2549.0,32808.27777777778,34271.41071428572,1930,Group 3,Montevideo ,Pocitos,Romania,Peru,3.0,1.0,1.0,0.0,4.0,1930,False,Q1 (Bajo),True,False,True,True,Otros
2000.0,32808.27777777778,41664.06451612903,1930,Group 1,Montevideo ,Estadio Centenario,Chile,France,1.0,0.0,0.0,0.0,1.0,1930,False,Q1 (Bajo),True,False,True,True,Otros
42100.0,32808.27777777778,41664.06451612903,1930,Group 1,Montevideo ,Estadio Centenario,Argentina,Mexico,6.0,3.0,3.0,1.0,9.0,1930,False,Q3 (Medio-Alto),True,True,True,True,Otros
79867.0,32808.27777777778,59053.333333333336,1930,Semi-finals,Montevideo ,Estadio Centenario,Uruguay,Yugoslavia,6.0,1.0,3.0,1.0,7.0,1930,False,Q4 (Alto),True,True,True,True,Otros
68346.0,32808.27777777778,76383.65,1930,Final,Montevideo ,Estadio Centenario,Uruguay,Argentina,4.0,2.0,1.0,2.0,6.0,1930,False,Q4 (Alto),True,True,True,True,Otros
9000.0,20872.222222222223,16120.333333333334,1938,First round,Reims ,Velodrome Municipale,Hungary,Dutch East Indies,6.0,0.0,4.0,0.0,6.0,1930,False,Q1 (Bajo),True,True,True,True,Otros
7000.0,20872.222222222223,16120.333333333334,1938,First round,Toulouse ,Stade Municipal,Cuba,Romania,3.0,3.0,0.0,0.0,6.0,1930,False,Q1 (Bajo),True,False,True,True,Otros
13452.0,20872.222222222223,16120.333333333334,1938,First round,Strasbourg ,Stade de la Meinau,Brazil,Poland,6.0,5.0,0.0,0.0,11.0,1930,False,Q1 (Bajo),True,True,True,True,Otros
7000.0,20872.222222222223,45697.48484848485,1938,Quarter-finals,Antibes ,Fort Carree,Sweden,Cuba,8.0,0.0,4.0,0.0,8.0,1930,False,Q1 (Bajo),True,True,True,True,Otros
5284.0,47511.181818181816,25915.745454545453,1950,Group 4,Belo Horizonte ,Independencia,Uruguay,Bolivia,8.0,0.0,4.0,0.0,8.0,1950,False,Q1 (Bajo),True,True,True,True,Otros
3580.0,47511.181818181816,41664.06451612903,1950,Group 1,Porto Alegre ,Eucaliptos,Switzerland,Mexico,2.0,1.0,2.0,0.0,3.0,1950,False,Q1 (Bajo),True,False,True,True,Otros
8501.0,47511.181818181816,34241.76271186441,1950,Group 2,Recife ,Ilha do Retiro,Chile,USA,5.0,2.0,2.0,0.0,7.0,1950,False,Q1 (Bajo),True,False,True,True,Otros
13470.0,29561.80769230769,41664.06451612903,1954,Group 1,Geneva ,Charmilles,Brazil,Mexico,5.0,0.0,4.0,0.0,5.0,1950,False,Q1 (Bajo),True,False,True,True,Otros
13000.0,29561.80769230769,34241.76271186441,1954,Group 2,Zurich ,Hardturm,Hungary,Korea Republic,9.0,0.0,4.0,0.0,9.0,1950,False,Q1 (Bajo),True,True,True,True,Otros
14000.0,29561.80769230769,25915.745454545453,1954,Group 4,Basel ,St. Jakob,England,Belgium,4.0,4.0,0.0,0.0,8.0,1950,False,Q1 (Bajo),True,True,True,True,Otros
56000.0,29561.80769230769,34241.76271186441,1954,Group 2,Basel ,St. Jakob,Hungary,Germany FR,8.0,3.0,3.0,1.0,11.0,1950,False,Q3 (Medio-Alto),True,True,True,True,Otros
4000.0,29561.80769230769,34241.76271186441,1954,Group 2,Geneva ,Charmilles,Turkey,Korea Republic,7.0,0.0,4.0,0.0,7.0,1950,False,Q1 (Bajo),True,True,True,True,Otros
17000.0,29561.80769230769,34241.76271186441,1954,Group 2,Zurich ,Hardturm,Germany FR,Turkey,7.0,2.0,3.0,1.0,9.0,1950,False,Q1 (Bajo),True,True,True,True,Otros
